,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-01-01,253.80302,251.35767,0.08272933,39.290516,-2.6782959,0.06845484,195.27863,0.0,0.01714242,0.74541,0.0
1980-01-02,253.17433,250.51062,-0.12285772,41.64286,3.9840424,0.085696034,184.55385,0.0,0.03705338,0.7482291,0.0
1980-01-03,253.29057,250.63312,-0.08021678,33.25617,2.601641,0.106510125,188.61572,0.0,0.18069579,0.751027,0.0
1980-01-04,250.83342,248.36798,-0.08947585,23.610435,2.901408,0.118593656,194.98976,0.0,0.49759918,0.7542521,0.0
1980-01-05,255.097,253.52922,0.0746431,39.769558,-2.4172845,0.07348315,206.71954,0.0,0.8932972,0.7797123,0.0
1980-01-06,257.15292,254.54651,0.023636002,79.26626,-0.7585841,0.2401665,170.27122,0.0,0.018056342,0.76162326,0.0
1980-01-07,251.05334,248.10725,-0.014621899,59.78171,0.47504124,0.35376993,143.34637,0.0,0.10673893,0.7467556,0.0
1980-01-08,253.73396,251.0,-0.06759656,19.861399,2.1935263,0.07303747,212.91121,0.0,3.7223659,0.78935677,0.0
1980-01-09,256.9672,254.58574,-0.023332402,37.431057,0.7568171,0.30477652,204.27846,0.0,2.3053298,0.7724503,0.0
1980-01-10,250.3205,247.15736,-0.0805811,29.688599,2.6131186,0.5401891,169.6155,0.0,0.4452021,0.7640876,0.0
1980-01-11,245.60558,242.0602,-0.016088268,5.7476997,0.5225093,0.5150401,174.07726,0.0,0.5612307,0.77043486,0.0
1980-01-12,238.4482,234.49477,-0.021819953,15.374038,0.70705193,0.9947713,133.1108,0.0,0.18286125,0.75560284,0.0
1980-01-13,251.88983,247.80756,0.030207189,47.473072,-0.9688937,0.5232747,204.42192,0.0,4.366928,0.8125482,0.0
1980-01-14,257.9675,256.5271,0.3867029,44.500416,-12.526822,0.9094238,221.8717,0.0,3.12647,0.79698265,0.0
1980-01-15,248.5093,245.87878,-0.021861147,8.78655,0.7083397,1.1943359,177.3097,0.0,0.8781544,0.7778058,0.0
1980-01-16,241.58131,236.97662,-0.051549975,38.327885,1.6714221,1.8284568,128.60277,0.0,0.022903262,0.76109105,0.0
1980-01-17,241.91856,236.20245,-0.022821978,12.415574,0.7404323,1.7785157,146.21152,0.0,0.099360995,0.77171576,0.0
1980-01-18,235.82635,230.95647,-0.03673136,29.877686,1.1914994,3.0095308,112.58246,0.0,0.01159626,0.74821824,0.0
1980-01-19,237.24275,225.97981,-0.012492831,17.803856,0.4041643,3.4707584,111.340096,0.0,0.00027832497,0.74860436,0.0
1980-01-20,244.69545,234.15942,-0.041639812,17.490507,1.3514104,3.4613247,154.53926,0.0,0.16594367,0.7660622,0.0
1980-01-21,248.70154,239.32426,0.020298623,66.63525,-0.6578713,4.3823752,135.54457,0.0,3.6528408e-07,0.7575593,0.0
1980-01-22,254.51399,250.63753,0.26698473,76.2548,-8.654208,5.4267273,166.19748,0.0,8.423381e-08,0.7581901,0.0
1980-01-23,254.6737,249.13165,0.076198235,67.83404,-2.46932,5.5765433,159.09813,0.0,1.7882865e-10,0.76090056,0.0
1980-01-24,250.3208,247.11739,-0.12466715,59.15378,4.041349,6.083547,143.18007,0.0,0.0012206172,0.76016426,0.0
1980-01-25,250.15608,247.11415,-0.13870715,72.37768,4.4985547,6.543335,138.90111,0.0,0.0035749734,0.758138,0.0
1980-01-26,257.0961,254.83235,0.10426232,75.39777,-3.37965,4.9841714,183.26532,0.0,0.0007164189,0.7873149,0.0
1980-01-27,259.75305,257.50177,0.13218431,73.30436,-4.2852674,3.6522217,186.53235,0.0,0.0007939093,0.8086253,0.0
1980-01-28,254.85619,252.23413,0.09500695,70.201805,-3.07599,5.3260903,166.42496,0.0,0.00013528095,0.7981694,0.0
1980-01-29,257.73325,255.12518,-0.029621713,79.72683,0.95584625,9.032959,159.53622,0.0,1.2311276e-05,0.77452517,0.0
1980-01-30,254.55363,251.37532,-0.12848173,55.08827,4.1642795,10.018066,166.57826,0.0,0.029133603,0.77172774,0.0
1980-01-31,254.45836,250.62994,-0.044234127,66.453636,1.4327637,12.713383,151.60083,0.0,3.6751426e-05,0.76090544,0.0
1980-02-01,253.25262,248.65509,-0.10305788,52.833996,3.3409417,13.600712,155.12321,0.0,3.8138594e-05,0.7616363,0.0
1980-02-02,252.06755,246.37457,-0.082723424,41.853905,2.6803265,14.932067,151.83112,0.0,3.0867097e-11,0.7576364,0.0
1980-02-03,248.46431,238.59831,-0.03751082,17.670818,1.214491,14.956698,145.24583,0.0,0.002563375,0.76076186,0.0
1980-02-04,246.0528,240.37569,-0.044702545,26.12295,1.448358,16.61941,160.15895,0.0,0.17258583,0.7603213,0.0
1980-02-05,243.68828,239.67216,-0.01623149,6.408075,0.5259838,13.724748,159.66333,0.0,0.8686371,0.7676591,0.0
1980-02-06,233.30449,225.88857,-0.012821732,14.178958,0.41556177,19.319946,100.67655,0.0,0.02761121,0.75679165,0.0
1980-02-07,242.55336,237.46318,-0.15820968,57.50218,5.127465,9.790782,141.77812,0.0,1.033589,0.79418296,0.0
