,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-02-14,234.60022,229.79657,-0.017751843,12.761081,0.5757725,5.883522,135.62645,0.0,0.28855458,0.7626457,0.0
1980-02-15,233.04164,227.59505,-0.061256465,35.398907,1.9858847,8.036865,122.56722,0.0,0.653322,0.7589431,0.0
1980-02-16,246.73372,244.73438,-0.092989825,26.352522,3.0162857,5.3814797,186.404,0.0,1.650871,0.7940617,0.0
1980-02-17,241.30388,238.27254,-0.0825176,38.37866,2.6720188,9.643433,138.96637,0.0,0.22889662,0.7665831,0.0
1980-02-18,244.12451,241.97437,-0.0865456,34.61121,2.8077774,7.204305,171.80023,0.0,0.99545366,0.7926302,0.0
1980-02-19,247.77661,246.71132,-0.019760761,18.594515,0.643064,6.829579,196.25642,0.0,4.051737,0.8035465,0.0
1980-02-20,238.19354,235.44368,-0.018226078,10.613862,0.5910396,12.584081,137.66666,0.0,0.36938155,0.7730903,0.0
1980-02-21,228.4101,222.38507,-0.023122746,28.13114,0.7480677,16.628925,95.37103,0.0,0.199096,0.7660557,0.0
1980-02-22,234.01512,230.40454,-0.040983796,34.62595,1.327419,12.855424,115.70638,0.0,0.17715928,0.7768186,0.0
1980-02-23,239.01836,237.2896,-0.026676044,23.201296,0.8648188,7.879429,172.29736,0.0,3.7974966,0.81483805,0.0
1980-02-24,237.48558,234.46645,-0.034831285,18.677103,1.1281425,14.986679,135.14879,0.0,0.3783644,0.77915114,0.0
1980-02-25,229.38959,220.90562,-0.0042624827,6.511589,0.13842528,22.624807,97.79319,0.0,0.114406444,0.76954246,0.0
1980-02-26,230.65521,221.1231,-0.013740274,15.845353,0.4453628,18.716776,112.92566,0.0,0.20557165,0.7803972,0.0
1980-02-27,225.0276,220.12016,-0.013858541,25.815882,0.4463264,28.987427,84.02763,0.0,0.06732946,0.76482934,0.0
1980-02-28,225.53291,220.18628,-0.018470084,28.858606,0.59957534,27.197104,104.085884,0.0,0.3078747,0.77628785,0.0
1980-02-29,228.54327,225.91658,-0.020191023,31.784647,0.6551807,32.9174,96.653114,0.0,0.21077204,0.7695227,0.0
1980-03-01,227.69603,221.37524,-0.021433761,27.885004,0.693903,35.67026,100.21517,0.0,0.116666935,0.76965314,0.0
1980-03-02,246.80524,243.65033,-0.1812296,40.3604,5.877318,24.132538,186.95055,0.0,1.6470177,0.7966415,0.0
1980-03-03,247.18353,245.03021,-0.098072246,23.888077,3.1807358,26.163485,174.22237,0.0,0.74647546,0.793126,0.0
1980-03-04,235.63326,230.81746,-0.008632997,5.380546,0.28330255,34.64476,129.62978,0.0,0.3706885,0.77524835,0.0
1980-03-05,229.95801,223.66974,-0.007153689,9.928015,0.23145191,41.12164,105.569466,0.0,0.20452833,0.770056,0.0
1980-03-06,224.60548,217.76466,-0.008673017,18.459967,0.2810657,50.164738,80.92606,0.0,0.056947246,0.7656834,0.0
1980-03-07,229.3111,225.39764,-0.030319275,41.658527,0.98281735,45.74347,102.14849,0.0,0.2746896,0.77481455,0.0
1980-03-08,231.86955,228.52773,-0.033695016,36.07811,1.094272,42.90578,114.817116,0.0,0.27933177,0.7838349,0.0
1980-03-09,243.15692,240.86537,-0.09525414,41.445557,3.0884092,40.701782,157.93158,0.0,0.7261753,0.7922221,0.0
1980-03-10,240.38971,237.80458,-0.051076334,25.045088,1.6543999,48.987835,138.0581,0.0,0.45150468,0.78446996,0.0
1980-03-11,232.32622,227.91869,-0.021371106,18.946157,0.6932852,52.913166,111.06983,0.0,0.1901896,0.78128034,0.0
1980-03-12,232.2228,228.46492,-0.014864438,16.3525,0.48063818,61.278748,115.47671,0.0,0.36048642,0.77782035,0.0
1980-03-13,235.65485,230.98383,-0.04144807,31.68365,1.3453165,53.33835,136.51958,0.0,1.1579176,0.79360986,0.0
1980-03-14,241.07518,239.04822,-0.049621247,26.245483,1.6099323,50.944366,157.62798,0.0,1.4265348,0.7953978,0.0
