year	concentration	uncert
1889.46	295.719	4.145
1889.54	290.261	4.207
1889.63	285.535	4.188
1889.71	286.038	4.159
1889.79	290.251	4.164
1889.88	294.399	4.159
1889.96	296.703	4.189
1890.04	296.931	4.216
1890.13	297.805	4.170
1890.21	298.427	4.167
1890.29	298.556	4.149
1890.38	298.374	4.147
1890.46	295.919	4.145
1890.54	290.461	4.207
1890.63	285.735	4.188
1890.71	286.238	4.159
1890.79	290.451	4.164
1890.88	294.599	4.159
1890.96	296.903	4.189
1891.04	297.031	4.216
1891.13	297.905	4.170
1891.21	298.527	4.167
1891.29	298.656	4.149
1891.38	298.474	4.147
1891.46	296.019	4.145
1891.54	290.561	4.207
1891.63	285.835	4.188
1891.71	286.338	4.159
1891.79	290.551	4.164
1891.88	294.699	4.159
1891.96	297.003	4.189
1892.04	297.231	4.216
1892.13	298.105	4.170
1892.21	298.727	4.167
1892.29	298.856	4.149
1892.38	298.674	4.147
1892.46	296.219	4.145
1892.54	290.761	4.207
1892.63	286.035	4.188
1892.71	286.538	4.159
1892.79	290.751	4.164
1892.88	294.899	4.159
1892.96	297.203	4.189
1893.04	297.331	4.216
1893.13	298.205	4.170
1893.21	298.827	4.167
1893.29	298.956	4.149
1893.38	298.774	4.147
1893.46	296.319	4.145
1893.54	290.861	4.207
1893.63	286.135	4.188
1893.71	286.638	4.159
1893.79	290.851	4.164
1893.88	294.999	4.159
1893.96	297.303	4.189
1894.04	297.431	4.216
1894.13	298.305	4.170
1894.21	298.927	4.167
1894.29	299.056	4.149
1894.38	298.874	4.147
1894.46	296.419	4.145
1894.54	290.961	4.207
1894.63	286.235	4.188
1894.71	286.738	4.159
1894.79	290.951	4.164
1894.88	295.099	4.159
1894.96	297.403	4.189
1895.04	297.531	4.216
1895.13	298.405	4.170
1895.21	299.027	4.167
1895.29	299.156	4.149
1895.38	298.974	4.147
1895.46	296.519	4.145
1895.54	291.061	4.207
1895.63	286.335	4.188
1895.71	286.838	4.159
1895.79	291.051	4.164
1895.88	295.199	4.159
1895.96	297.503	4.189
1896.04	297.631	4.216
1896.13	298.505	4.170
1896.21	299.127	4.167
1896.29	299.256	4.149
1896.38	299.074	4.147
1896.46	296.619	4.145
1896.54	291.161	4.207
1896.63	286.435	4.188
1896.71	286.938	4.159
1896.79	291.151	4.164
1896.88	295.299	4.159
1896.96	297.603	4.189
1897.04	297.731	4.216
1897.13	298.605	4.170
1897.21	299.227	4.167
1897.29	299.356	4.149
1897.38	299.174	4.147
1897.46	296.719	4.145
1897.54	291.261	4.207
1897.63	286.535	4.188
1897.71	287.038	4.159
1897.79	291.251	4.164
1897.88	295.399	4.159
1897.96	297.703	4.189
1898.04	297.931	4.216
1898.13	298.805	4.170
1898.21	299.427	4.167
1898.29	299.556	4.149
1898.38	299.374	4.147
1898.46	296.919	4.145
1898.54	291.461	4.207
1898.63	286.735	4.188
1898.71	287.238	4.159
1898.79	291.451	4.164
1898.88	295.599	4.159
1898.96	297.903	4.189
1899.04	298.231	4.216
1899.13	299.105	4.170
1899.21	299.727	4.167
1899.29	299.856	4.149
1899.38	299.674	4.147
1899.46	297.219	4.145
1899.54	291.761	4.207
1899.63	287.035	4.188
1899.71	287.538	4.159
1899.79	291.751	4.164
1899.88	295.899	4.159
1899.96	298.203	4.189
1900.04	298.531	4.216
1900.13	299.405	4.170
1900.21	300.027	4.167
1900.29	300.156	4.149
1900.38	299.974	4.147
1900.46	297.519	4.145
1900.54	292.061	4.207
1900.63	287.335	4.188
1900.71	287.838	4.159
1900.79	292.051	4.164
1900.88	296.199	4.159
1900.96	298.503	4.189
1901.04	298.831	4.216
1901.13	299.705	4.170
1901.21	300.327	4.167
1901.29	300.456	4.149
1901.38	300.274	4.147
1901.46	297.819	4.145
1901.54	292.361	4.207
1901.63	287.635	4.188
1901.71	288.138	4.159
1901.79	292.351	4.164
1901.88	296.499	4.159
1901.96	298.803	4.189
1902.04	299.231	4.216
1902.13	300.105	4.170
1902.21	300.727	4.167
1902.29	300.856	4.149
1902.38	300.674	4.147
1902.46	298.219	4.145
1902.54	292.761	4.207
1902.63	288.035	4.188
1902.71	288.538	4.159
1902.79	292.751	4.164
1902.88	296.899	4.159
1902.96	299.203	4.189
1903.04	299.531	4.216
1903.13	300.405	4.170
1903.21	301.027	4.167
1903.29	301.156	4.149
1903.38	300.974	4.147
1903.46	298.519	4.145
1903.54	293.061	4.207
1903.63	288.335	4.188
1903.71	288.838	4.159
1903.79	293.051	4.164
1903.88	297.199	4.159
1903.96	299.503	4.189
1904.04	299.931	4.216
1904.13	300.805	4.170
1904.21	301.427	4.167
1904.29	301.556	4.149
1904.38	301.374	4.147
1904.46	298.919	4.145
1904.54	293.461	4.207
1904.63	288.735	4.188
1904.71	289.238	4.159
1904.79	293.451	4.164
1904.88	297.599	4.159
1904.96	299.903	4.189
1905.04	300.331	4.216
1905.13	301.205	4.170
1905.21	301.827	4.167
1905.29	301.956	4.149
1905.38	301.774	4.147
1905.46	299.319	4.145
1905.54	293.861	4.207
1905.63	289.135	4.188
1905.71	289.638	4.159
1905.79	293.851	4.164
1905.88	297.999	4.159
1905.96	300.303	4.189
1906.04	300.831	4.216
1906.13	301.705	4.170
1906.21	302.327	4.167
1906.29	302.456	4.149
1906.38	302.274	4.147
1906.46	299.819	4.145
1906.54	294.361	4.207
1906.63	289.635	4.188
1906.71	290.138	4.159
1906.79	294.351	4.164
1906.88	298.499	4.159
1906.96	300.803	4.189
1907.04	301.231	4.216
1907.13	302.105	4.170
1907.21	302.727	4.167
1907.29	302.856	4.149
1907.38	302.674	4.147
1907.46	300.219	4.145
1907.54	294.761	4.207
1907.63	290.035	4.188
1907.71	290.538	4.159
1907.79	294.751	4.164
1907.88	298.899	4.159
1907.96	301.203	4.189
1908.04	301.631	4.216
1908.13	302.505	4.170
1908.21	303.127	4.167
1908.29	303.256	4.149
1908.38	303.074	4.147
1908.46	300.619	4.145
1908.54	295.161	4.207
1908.63	290.435	4.188
1908.71	290.938	4.159
1908.79	295.151	4.164
1908.88	299.299	4.159
1908.96	301.603	4.189
1909.04	302.031	4.216
1909.13	302.905	4.170
1909.21	303.527	4.167
1909.29	303.656	4.149
1909.38	303.474	4.147
1909.46	301.019	4.145
1909.54	295.561	4.207
1909.63	290.835	4.188
1909.71	291.338	4.159
1909.79	295.551	4.164
1909.88	299.699	4.159
1909.96	302.003	4.189
1910.04	302.431	4.216
1910.13	303.305	4.170
1910.21	303.927	4.167
1910.29	304.056	4.149
1910.38	303.874	4.147
1910.46	301.419	4.145
1910.54	295.961	4.207
1910.63	291.235	4.188
1910.71	291.738	4.159
1910.79	295.951	4.164
1910.88	300.099	4.159
1910.96	302.403	4.189
1911.04	302.831	4.216
1911.13	303.705	4.170
1911.21	304.327	4.167
1911.29	304.456	4.149
1911.38	304.274	4.147
1911.46	301.819	4.145
1911.54	296.361	4.207
1911.63	291.635	4.188
1911.71	292.138	4.159
1911.79	296.351	4.164
1911.88	300.499	4.159
1911.96	302.803	4.189
1912.04	303.131	4.216
1912.13	304.005	4.170
1912.21	304.627	4.167
1912.29	304.756	4.149
1912.38	304.574	4.147
1912.46	302.119	4.145
1912.54	296.661	4.207
1912.63	291.935	4.188
1912.71	292.438	4.159
1912.79	296.651	4.164
1912.88	300.799	4.159
1912.96	303.103	4.189
1913.04	303.531	4.216
1913.13	304.405	4.170
1913.21	305.027	4.167
1913.29	305.156	4.149
1913.38	304.974	4.147
1913.46	302.519	4.145
1913.54	297.061	4.207
1913.63	292.335	4.188
1913.71	292.838	4.159
1913.79	297.051	4.164
1913.88	301.199	4.159
1913.96	303.503	4.189
1914.04	303.831	4.216
1914.13	304.705	4.170
1914.21	305.327	4.167
1914.29	305.456	4.149
1914.38	305.274	4.147
1914.46	302.819	4.145
1914.54	297.361	4.207
1914.63	292.635	4.188
1914.71	293.138	4.159
1914.79	297.351	4.164
1914.88	301.499	4.159
1914.96	303.803	4.189
1915.04	304.131	4.216
1915.13	305.005	4.170
1915.21	305.627	4.167
1915.29	305.756	4.149
1915.38	305.574	4.147
1915.46	303.119	4.145
1915.54	297.661	4.207
1915.63	292.935	4.188
1915.71	293.438	4.159
1915.79	297.651	4.164
1915.88	301.799	4.159
1915.96	304.103	4.189
1916.04	304.431	4.216
1916.13	305.305	4.170
1916.21	305.927	4.167
1916.29	306.056	4.149
1916.38	305.874	4.147
1916.46	303.419	4.145
1916.54	297.961	4.207
1916.63	293.235	4.188
1916.71	293.738	4.159
1916.79	297.951	4.164
1916.88	302.099	4.159
1916.96	304.403	4.189
1917.04	304.831	4.216
1917.13	305.705	4.170
1917.21	306.327	4.167
1917.29	306.456	4.149
1917.38	306.274	4.147
1917.46	303.819	4.145
1917.54	298.361	4.207
1917.63	293.635	4.188
1917.71	294.138	4.159
1917.79	298.351	4.164
1917.88	302.499	4.159
1917.96	304.803	4.189
1918.04	305.131	4.216
1918.13	306.005	4.170
1918.21	306.627	4.167
1918.29	306.756	4.149
1918.38	306.574	4.147
1918.46	304.119	4.145
1918.54	298.661	4.207
1918.63	293.935	4.188
1918.71	294.438	4.159
1918.79	298.651	4.164
1918.88	302.799	4.159
1918.96	305.103	4.189
1919.04	305.431	4.216
1919.13	306.305	4.170
1919.21	306.927	4.167
1919.29	307.056	4.149
1919.38	306.874	4.147
1919.46	304.419	4.145
1919.54	298.961	4.207
1919.63	294.235	4.188
1919.71	294.738	4.159
1919.79	298.951	4.164
1919.88	303.099	4.159
1919.96	305.403	4.189
1920.04	305.731	4.216
1920.13	306.605	4.170
1920.21	307.227	4.167
1920.29	307.356	4.149
1920.38	307.174	4.147
1920.46	304.719	4.145
1920.54	299.261	4.207
1920.63	294.535	4.188
1920.71	295.038	4.159
1920.79	299.251	4.164
1920.88	303.399	4.159
1920.96	305.703	4.189
1921.04	306.131	4.216
1921.13	307.005	4.170
1921.21	307.627	4.167
1921.29	307.756	4.149
1921.38	307.574	4.147
1921.46	305.119	4.145
1921.54	299.661	4.207
1921.63	294.935	4.188
1921.71	295.438	4.159
1921.79	299.651	4.164
1921.88	303.799	4.159
1921.96	306.103	4.189
1922.04	306.531	4.216
1922.13	307.405	4.170
1922.21	308.027	4.167
1922.29	308.156	4.149
1922.38	307.974	4.147
1922.46	305.519	4.145
1922.54	300.061	4.207
1922.63	295.335	4.188
1922.71	295.838	4.159
1922.79	300.051	4.164
1922.88	304.199	4.159
1922.96	306.503	4.189
1923.04	306.831	4.216
1923.13	307.705	4.170
1923.21	308.327	4.167
1923.29	308.456	4.149
1923.38	308.274	4.147
1923.46	305.819	4.145
1923.54	300.361	4.207
1923.63	295.635	4.188
1923.71	296.138	4.159
1923.79	300.351	4.164
1923.88	304.499	4.159
1923.96	306.803	4.189
1924.04	307.231	4.216
1924.13	308.105	4.170
1924.21	308.727	4.167
1924.29	308.856	4.149
1924.38	308.674	4.147
1924.46	306.219	4.145
1924.54	300.761	4.207
1924.63	296.035	4.188
1924.71	296.538	4.159
1924.79	300.751	4.164
1924.88	304.899	4.159
1924.96	307.203	4.189
1925.04	307.731	4.216
1925.13	308.605	4.170
1925.21	309.227	4.167
1925.29	309.356	4.149
1925.38	309.174	4.147
1925.46	306.719	4.145
1925.54	301.261	4.207
1925.63	296.535	4.188
1925.71	297.038	4.159
1925.79	301.251	4.164
1925.88	305.399	4.159
1925.96	307.703	4.189
1926.04	308.131	4.216
1926.13	309.005	4.170
1926.21	309.627	4.167
1926.29	309.756	4.149
1926.38	309.574	4.147
1926.46	307.119	4.145
1926.54	301.661	4.207
1926.63	296.935	4.188
1926.71	297.438	4.159
1926.79	301.651	4.164
1926.88	305.799	4.159
1926.96	308.103	4.189
1927.04	308.531	4.216
1927.13	309.405	4.170
1927.21	310.027	4.167
1927.29	310.156	4.149
1927.38	309.974	4.147
1927.46	307.519	4.145
1927.54	302.061	4.207
1927.63	297.335	4.188
1927.71	297.838	4.159
1927.79	302.051	4.164
1927.88	306.199	4.159
1927.96	308.503	4.189
1928.04	309.031	4.216
1928.13	309.905	4.170
1928.21	310.527	4.167
1928.29	310.656	4.149
1928.38	310.474	4.147
1928.46	308.019	4.145
1928.54	302.561	4.207
1928.63	297.835	4.188
1928.71	298.338	4.159
1928.79	302.551	4.164
1928.88	306.699	4.159
1928.96	309.003	4.189
1929.04	309.531	4.216
1929.13	310.405	4.170
1929.21	311.027	4.167
1929.29	311.156	4.149
1929.38	310.974	4.147
1929.46	308.519	4.145
1929.54	303.061	4.207
1929.63	298.335	4.188
1929.71	298.838	4.159
1929.79	303.051	4.164
1929.88	307.199	4.159
1929.96	309.503	4.189
1930.04	309.931	3.252
1930.13	310.805	3.192
1930.21	311.427	3.187
1930.29	311.556	3.165
1930.38	311.374	3.162
1930.46	308.919	3.159
1930.54	303.461	3.240
1930.63	298.735	3.216
1930.71	299.238	3.177
1930.79	303.451	3.184
1930.88	307.599	3.178
1930.96	309.903	3.217
1931.04	310.425	3.252
1931.13	311.298	3.192
1931.21	311.921	3.187
1931.29	312.050	3.165
1931.38	311.868	3.162
1931.46	309.413	3.159
1931.54	303.954	3.240
1931.63	299.229	3.216
1931.71	299.732	3.177
1931.79	303.945	3.184
1931.88	308.093	3.178
1931.96	310.396	3.217
1932.04	310.966	3.252
1932.13	311.839	3.192
1932.21	312.462	3.187
1932.29	312.591	3.165
1932.38	312.409	3.162
1932.46	309.953	3.159
1932.54	304.495	3.240
1932.63	299.770	3.216
1932.71	300.273	3.177
1932.79	304.486	3.184
1932.88	308.634	3.178
1932.96	310.937	3.217
1933.04	311.407	3.252
1933.13	312.280	3.192
1933.21	312.903	3.187
1933.29	313.032	3.165
1933.38	312.850	3.162
1933.46	310.394	3.159
1933.54	304.936	3.240
1933.63	300.211	3.216
1933.71	300.714	3.177
1933.79	304.927	3.184
1933.88	309.075	3.178
1933.96	311.378	3.217
1934.04	311.848	3.252
1934.13	312.721	3.192
1934.21	313.344	3.187
1934.29	313.473	3.165
1934.38	313.291	3.162
1934.46	310.835	3.159
1934.54	305.377	3.240
1934.63	300.652	3.216
1934.71	301.155	3.177
1934.79	305.368	3.184
1934.88	309.516	3.178
1934.96	311.819	3.217
1935.04	312.289	3.252
1935.13	313.162	3.192
1935.21	313.784	3.187
1935.29	313.914	3.165
1935.38	313.732	3.162
1935.46	311.276	3.159
1935.54	305.818	3.240
1935.63	301.093	3.216
1935.71	301.596	3.177
1935.79	305.809	3.184
1935.88	309.957	3.178
1935.96	312.260	3.217
1936.04	312.730	3.252
1936.13	313.603	3.192
1936.21	314.225	3.187
1936.29	314.355	3.165
1936.38	314.173	3.162
1936.46	311.717	3.159
1936.54	306.259	3.240
1936.63	301.534	3.216
1936.71	302.037	3.177
1936.79	306.250	3.184
1936.88	310.398	3.178
1936.96	312.701	3.217
1937.04	312.971	3.252
1937.13	313.844	3.192
1937.21	314.466	3.187
1937.29	314.596	3.165
1937.38	314.414	3.162
1937.46	311.958	3.159
1937.54	306.500	3.240
1937.63	301.775	3.216
1937.71	302.278	3.177
1937.79	306.491	3.184
1937.88	310.639	3.178
1937.96	312.942	3.217
1938.04	313.212	3.252
1938.13	314.085	3.192
1938.21	314.707	3.187
1938.29	314.837	3.165
1938.38	314.655	3.162
1938.46	312.199	3.159
1938.54	306.741	3.240
1938.63	302.015	3.216
1938.71	302.519	3.177
1938.79	306.732	3.184
1938.88	310.880	3.178
1938.96	313.183	3.217
1939.04	313.353	3.252
1939.13	314.226	3.192
1939.21	314.848	3.187
1939.29	314.978	3.165
1939.38	314.796	3.162
1939.46	312.340	3.159
1939.54	306.882	3.240
1939.63	302.156	3.216
1939.71	302.660	3.177
1939.79	306.873	3.184
1939.88	311.021	3.178
1939.96	313.324	3.217
1940.04	313.494	3.252
1940.13	314.367	3.192
1940.21	314.989	3.187
1940.29	315.119	3.165
1940.38	314.937	3.162
1940.46	312.481	3.159
1940.54	307.023	3.240
1940.63	302.297	3.216
1940.71	302.801	3.177
1940.79	307.014	3.184
1940.88	311.162	3.178
1940.96	313.465	3.217
1941.04	313.535	3.252
1941.13	314.408	3.192
1941.21	315.030	3.187
1941.29	315.160	3.165
1941.38	314.978	3.162
1941.46	312.522	3.159
1941.54	307.064	3.240
1941.63	302.338	3.216
1941.71	302.842	3.177
1941.79	307.054	3.184
1941.88	311.203	3.178
1941.96	313.506	3.217
1942.04	313.476	3.252
1942.13	314.349	3.192
1942.21	314.971	3.187
1942.29	315.101	3.165
1942.38	314.919	3.162
1942.46	312.463	3.159
1942.54	307.005	3.240
1942.63	302.279	3.216
1942.71	302.782	3.177
1942.79	306.995	3.184
1942.88	311.144	3.178
1942.96	313.447	3.217
1943.04	313.416	3.252
1943.13	314.290	3.192
1943.21	314.912	3.187
1943.29	315.041	3.165
1943.38	314.859	3.162
1943.46	312.404	3.159
1943.54	306.946	3.240
1943.63	302.220	3.216
1943.71	302.723	3.177
1943.79	306.936	3.184
1943.88	311.084	3.178
1943.96	313.388	3.217
1944.04	313.357	3.252
1944.13	314.230	3.192
1944.21	314.853	3.187
1944.29	314.982	3.165
1944.38	314.800	3.162
1944.46	312.345	3.159
1944.54	306.887	3.240
1944.63	302.161	3.216
1944.71	302.664	3.177
1944.79	306.877	3.184
1944.88	311.025	3.178
1944.96	313.329	3.217
1945.04	313.398	3.252
1945.13	314.271	3.192
1945.21	314.894	3.187
1945.29	315.023	3.165
1945.38	314.841	3.162
1945.46	312.386	3.159
1945.54	306.928	3.240
1945.63	302.202	3.216
1945.71	302.705	3.177
1945.79	306.918	3.184
1945.88	311.066	3.178
1945.96	313.370	3.217
1946.04	313.439	3.252
1946.13	314.312	3.192
1946.21	314.935	3.187
1946.29	315.064	3.165
1946.38	314.882	3.162
1946.46	312.427	3.159
1946.54	306.969	3.240
1946.63	302.243	3.216
1946.71	302.746	3.177
1946.79	306.959	3.184
1946.88	311.107	3.178
1946.96	313.411	3.217
1947.04	313.580	3.252
1947.13	314.453	3.192
1947.21	315.076	3.187
1947.29	315.205	3.165
1947.38	315.023	3.162
1947.46	312.567	3.159
1947.54	307.109	3.240
1947.63	302.384	3.216
1947.71	302.887	3.177
1947.79	307.100	3.184
1947.88	311.248	3.178
1947.96	313.551	3.217
1948.04	313.721	3.252
1948.13	314.594	3.192
1948.21	315.217	3.187
1948.29	315.346	3.165
1948.38	315.164	3.162
1948.46	312.708	3.159
1948.54	307.250	3.240
1948.63	302.525	3.216
1948.71	303.028	3.177
1948.79	307.241	3.184
1948.88	311.389	3.178
1948.96	313.692	3.217
1949.04	313.962	3.252
1949.13	314.835	3.192
1949.21	315.458	3.187
1949.29	315.587	3.165
1949.38	315.405	3.162
1949.46	312.949	3.159
1949.54	307.491	3.240
1949.63	302.766	3.216
1949.71	303.269	3.177
1949.79	307.482	3.184
1949.88	311.630	3.178
1949.96	313.933	3.217
1950.04	314.203	3.252
1950.13	315.076	3.192
1950.21	315.698	3.187
1950.29	315.828	3.165
1950.38	315.646	3.162
1950.46	313.190	3.159
1950.54	307.732	3.240
1950.63	303.007	3.216
1950.71	303.510	3.177
1950.79	307.723	3.184
1950.88	311.871	3.178
1950.96	314.174	3.217
1951.04	314.644	3.252
1951.13	315.517	3.192
1951.21	316.139	3.187
1951.29	316.269	3.165
1951.38	316.087	3.162
1951.46	313.631	3.159
1951.54	308.173	3.240
1951.63	303.448	3.216
1951.71	303.951	3.177
1951.79	308.164	3.184
1951.88	312.312	3.178
1951.96	314.615	3.217
1952.04	315.085	3.252
1952.13	315.958	3.192
1952.21	316.580	3.187
1952.29	316.710	3.165
1952.38	316.528	3.162
1952.46	314.072	3.159
1952.54	308.614	3.240
1952.63	303.889	3.216
1952.71	304.392	3.177
1952.79	308.605	3.184
1952.88	312.753	3.178
1952.96	315.056	3.217
1953.04	315.526	3.252
1953.13	316.399	3.192
1953.21	317.021	3.187
1953.29	317.151	3.165
1953.38	316.969	3.162
1953.46	314.513	3.159
1953.54	309.055	3.240
1953.63	304.330	3.216
1953.71	304.833	3.177
1953.79	309.046	3.184
1953.88	313.194	3.178
1953.96	315.497	3.217
1954.04	316.067	3.252
1954.13	316.940	3.192
1954.21	317.562	3.187
1954.29	317.692	3.165
1954.38	317.510	3.162
1954.46	315.054	3.159
1954.54	309.596	3.240
1954.63	304.870	3.216
1954.71	305.374	3.177
1954.79	309.587	3.184
1954.88	313.735	3.178
1954.96	316.038	3.217
1955.04	316.708	3.252
1955.13	317.581	3.192
1955.21	318.203	3.187
1955.29	318.333	3.165
1955.38	318.151	3.162
1955.46	315.695	3.159
1955.54	310.237	3.240
1955.63	305.511	3.216
1955.71	306.015	3.177
1955.79	310.228	3.184
1955.88	314.376	3.178
1955.96	316.679	3.217
1956.04	317.349	3.252
1956.13	318.222	3.192
1956.21	318.844	3.187
1956.29	318.974	3.165
1956.38	318.792	3.162
1956.46	316.336	3.159
1956.54	310.878	3.240
1956.63	306.152	3.216
1956.71	306.656	3.177
1956.79	310.869	3.184
1956.88	315.017	3.178
1956.96	317.320	3.217
1957.04	317.990	3.252
1957.13	318.863	3.192
1957.21	319.485	3.187
1957.29	319.615	3.165
1957.38	319.433	3.162
1957.46	316.977	3.159
1957.54	311.519	3.240
1957.63	306.793	3.216
1957.71	307.297	3.177
1957.79	311.509	3.184
1957.88	315.658	3.178
1957.96	317.961	3.217
1958.04	318.730	3.252
1958.13	319.604	3.192
1958.21	319.863	0.858
1958.29	320.358	0.827
1958.38	319.707	0.952
1958.46	317.593	1.356
1958.54	312.171	1.086
1958.63	308.528	0.922
1958.71	308.985	0.797
1958.79	312.477	0.581
1958.88	316.169	0.739
1958.96	318.467	1.177
1959.04	319.802	1.082
1959.13	320.664	0.903
1959.21	320.873	0.858
1959.29	320.628	0.827
1959.38	320.497	0.952
1959.46	318.493	1.356
1959.54	312.851	1.086
1959.63	308.398	0.922
1959.71	309.625	0.797
1959.79	313.297	0.581
1959.88	317.639	0.739
1959.96	319.377	1.177
1960.04	320.612	1.082
1960.13	321.254	0.903
1960.21	321.743	0.858
1960.29	321.928	0.827
1960.38	322.237	0.952
1960.46	319.923	1.356
1960.54	314.491	1.086
1960.63	309.508	0.922
1960.71	309.945	0.797
1960.79	313.877	0.581
1960.88	317.839	0.739
1960.96	319.987	1.177
1961.04	321.112	1.082
1961.13	321.984	0.903
1961.21	322.703	0.858
1961.29	322.388	0.827
1961.38	322.787	0.952
1961.46	320.103	1.356
1961.54	314.881	1.086
1961.63	310.388	0.922
1961.71	310.585	0.797
1961.79	315.417	0.581
1961.88	318.939	0.739
1961.96	320.807	1.177
1962.04	322.122	1.082
1962.13	322.844	0.903
1962.21	323.843	0.858
1962.29	323.538	0.827
1962.38	323.217	0.952
1962.46	320.883	1.356
1962.54	315.891	1.086
1962.63	310.998	0.922
1962.71	312.035	0.797
1962.79	315.457	0.581
1962.88	319.529	0.739
1962.96	321.497	1.177
1963.04	322.922	1.082
1963.13	323.364	0.903
1963.21	324.023	0.858
1963.29	324.298	0.827
1963.38	324.447	0.952
1963.46	321.803	1.356
1963.54	316.051	1.086
1963.63	311.368	0.922
1963.71	311.995	0.797
1963.79	316.027	0.581
1963.88	319.959	0.739
1963.96	322.107	1.177
1964.04	323.752	1.082
1964.13	323.926	0.903
1964.21	324.099	0.858
1964.29	324.273	0.827
1964.38	324.447	0.952
1964.46	322.223	1.356
1964.54	316.751	1.086
1964.63	312.298	0.922
1964.71	312.485	0.797
1964.79	316.827	0.581
1964.88	320.629	0.739
1964.96	322.507	1.177
1965.04	323.622	1.082
1965.13	324.724	0.903
1965.21	325.053	0.858
1965.29	325.038	0.827
1965.38	324.367	0.952
1965.46	322.203	1.356
1965.54	317.701	1.086
1965.63	312.398	0.922
1965.71	313.595	0.797
1965.79	317.337	0.581
1965.88	321.709	0.739
1965.96	323.217	1.177
1966.04	324.802	1.082
1966.13	325.874	0.903
1966.21	326.553	0.858
1966.29	326.778	0.827
1966.38	326.217	0.952
1966.46	324.083	1.356
1966.54	318.701	1.086
1966.63	313.968	0.922
1966.71	314.425	0.797
1966.79	318.137	0.581
1966.88	322.629	0.739
1966.96	324.877	1.177
1967.04	326.242	1.082
1967.13	326.784	0.903
1967.21	327.203	0.858
1967.29	327.328	0.827
1967.38	327.207	0.952
1967.46	324.423	1.356
1967.54	318.861	1.086
1967.63	314.518	0.922
1967.71	315.095	0.797
1967.79	319.347	0.581
1967.88	323.559	0.739
1967.96	325.757	1.177
1968.04	326.752	1.082
1968.13	327.434	0.903
1968.21	328.053	0.858
1968.29	327.928	0.827
1968.38	327.777	0.952
1968.46	325.693	1.356
1968.54	320.451	1.086
1968.63	315.628	0.922
1968.71	316.195	0.797
1968.79	320.287	0.581
1968.88	324.149	0.739
1968.96	326.637	1.177
1969.04	328.182	1.082
1969.13	328.704	0.903
1969.21	329.803	0.858
1969.29	329.568	0.827
1969.38	329.547	0.952
1969.46	327.093	1.356
1969.54	322.191	1.086
1969.63	316.885	1.056
1969.71	317.251	0.853
1969.79	320.712	0.626
1969.88	324.787	0.684
1969.96	327.480	1.090
1970.04	329.335	0.882
1970.13	329.877	0.810
1970.21	329.667	0.826
1970.29	329.533	0.756
1970.38	329.882	0.885
1970.46	327.698	1.364
1970.54	322.723	1.163
1970.63	318.875	1.056
1970.71	318.861	0.853
1970.79	322.592	0.626
1970.88	326.747	0.684
1970.96	329.150	1.090
1971.04	330.352	1.082
1971.13	330.964	0.903
1971.21	331.343	0.858
1971.29	330.688	0.827
1971.38	331.127	0.952
1971.46	328.903	1.356
1971.54	323.651	1.086
1971.63	319.058	0.922
1971.71	319.145	0.797
1971.79	323.607	0.581
1971.88	327.639	0.739
1971.96	329.807	1.177
1972.04	330.952	1.082
1972.13	331.914	0.903
1972.21	331.913	0.858
1972.29	332.628	0.827
1972.38	332.277	0.952
1972.46	329.423	1.356
1972.54	324.361	1.086
1972.63	319.918	0.922
1972.71	320.715	0.797
1972.79	325.097	0.581
1972.88	329.339	0.739
1972.96	331.347	1.177
1973.04	332.732	1.082
1973.13	333.844	0.903
1973.21	334.463	0.858
1973.29	334.408	0.827
1973.38	334.687	0.952
1973.46	332.403	1.356
1973.54	327.181	1.086
1973.63	322.908	0.922
1973.71	323.295	0.797
1973.79	327.217	0.581
1973.88	330.999	0.739
1973.96	332.437	1.177
1974.04	333.532	1.082
1974.13	334.994	0.903
1974.21	335.643	0.858
1974.29	335.558	0.827
1974.38	335.297	0.952
1974.46	332.583	1.356
1974.54	327.491	1.086
1974.63	322.998	0.922
1974.71	323.215	0.797
1974.79	327.407	0.581
1974.88	331.299	0.739
1974.96	333.367	1.177
1975.04	334.582	1.082
1975.13	335.694	0.903
1975.21	336.203	0.858
1975.29	336.218	0.827
1975.38	336.167	0.952
1975.46	333.933	1.356
1975.54	328.221	1.086
1975.63	323.658	0.922
1975.71	324.345	0.797
1975.79	328.377	0.581
1975.88	332.329	0.739
1975.96	334.557	1.177
1976.04	335.932	1.082
1976.13	336.844	0.903
1976.21	337.663	0.858
1976.29	337.488	0.827
1976.38	337.077	0.952
1976.46	334.673	1.356
1976.54	328.993	1.163
1976.63	324.935	1.056
1976.71	325.601	0.853
1976.79	329.332	0.626
1976.88	333.347	0.684
1976.96	335.740	1.090
1977.04	336.995	0.882
1977.13	337.467	0.810
1977.21	337.977	0.826
1977.29	338.633	0.756
1977.38	338.692	0.885
1977.46	336.418	1.364
1977.54	331.293	1.163
1977.63	326.365	1.056
1977.71	326.621	0.853
1977.79	330.582	0.626
1977.88	334.397	0.684
1977.96	337.340	1.090
1978.04	339.435	0.882
1978.13	340.147	0.810
1978.21	340.757	0.826
1978.29	340.753	0.756
1978.38	340.232	0.885
1978.46	337.988	1.364
1978.54	332.633	1.163
1978.63	327.955	1.056
1978.71	328.151	0.853
1978.79	332.252	0.626
1978.88	335.967	0.684
1978.96	338.270	1.090
1979.04	340.275	0.882
