year	concentration	uncert
1820.46	285.919	4.145
1820.54	280.461	4.207
1820.63	275.735	4.188
1820.71	276.238	4.159
1820.79	280.451	4.164
1820.88	284.599	4.159
1820.96	286.903	4.189
1821.04	286.951	4.216
1821.13	287.825	4.170
1821.21	288.447	4.167
1821.29	288.576	4.149
1821.38	288.394	4.147
1821.46	285.939	4.145
1821.54	280.481	4.207
1821.63	275.755	4.188
1821.71	276.258	4.159
1821.79	280.471	4.164
1821.88	284.619	4.159
1821.96	286.923	4.189
1822.04	286.971	4.216
1822.13	287.845	4.170
1822.21	288.467	4.167
1822.29	288.596	4.149
1822.38	288.414	4.147
1822.46	285.959	4.145
1822.54	280.501	4.207
1822.63	275.775	4.188
1822.71	276.278	4.159
1822.79	280.491	4.164
1822.88	284.639	4.159
1822.96	286.943	4.189
1823.04	286.991	4.216
1823.13	287.865	4.170
1823.21	288.487	4.167
1823.29	288.616	4.149
1823.38	288.434	4.147
1823.46	285.979	4.145
1823.54	280.521	4.207
1823.63	275.795	4.188
1823.71	276.298	4.159
1823.79	280.511	4.164
1823.88	284.659	4.159
1823.96	286.963	4.189
1824.04	287.011	4.216
1824.13	287.885	4.170
1824.21	288.507	4.167
1824.29	288.636	4.149
1824.38	288.454	4.147
1824.46	285.999	4.145
1824.54	280.541	4.207
1824.63	275.815	4.188
1824.71	276.318	4.159
1824.79	280.531	4.164
1824.88	284.679	4.159
1824.96	286.983	4.189
1825.04	287.031	4.216
1825.13	287.905	4.170
1825.21	288.527	4.167
1825.29	288.656	4.149
1825.38	288.474	4.147
1825.46	286.019	4.145
1825.54	280.561	4.207
1825.63	275.835	4.188
1825.71	276.338	4.159
1825.79	280.551	4.164
1825.88	284.699	4.159
1825.96	287.003	4.189
1826.04	287.051	4.216
1826.13	287.925	4.170
1826.21	288.547	4.167
1826.29	288.676	4.149
1826.38	288.494	4.147
1826.46	286.039	4.145
1826.54	280.581	4.207
1826.63	275.855	4.188
1826.71	276.358	4.159
1826.79	280.571	4.164
1826.88	284.719	4.159
1826.96	287.023	4.189
1827.04	287.071	4.216
1827.13	287.945	4.170
1827.21	288.567	4.167
1827.29	288.696	4.149
1827.38	288.514	4.147
1827.46	286.059	4.145
1827.54	280.601	4.207
1827.63	275.875	4.188
1827.71	276.378	4.159
1827.79	280.591	4.164
1827.88	284.739	4.159
1827.96	287.043	4.189
1828.04	287.091	4.216
1828.13	287.965	4.170
1828.21	288.587	4.167
1828.29	288.716	4.149
1828.38	288.534	4.147
1828.46	286.079	4.145
1828.54	280.621	4.207
1828.63	275.895	4.188
1828.71	276.398	4.159
1828.79	280.611	4.164
1828.88	284.759	4.159
1828.96	287.063	4.189
1829.04	287.111	4.216
1829.13	287.985	4.170
1829.21	288.607	4.167
1829.29	288.736	4.149
1829.38	288.554	4.147
1829.46	286.099	4.145
1829.54	280.641	4.207
1829.63	275.915	4.188
1829.71	276.418	4.159
1829.79	280.631	4.164
1829.88	284.779	4.159
1829.96	287.083	4.189
1830.04	287.131	4.216
1830.13	288.005	4.170
1830.21	288.627	4.167
1830.29	288.756	4.149
1830.38	288.574	4.147
1830.46	286.119	4.145
1830.54	280.661	4.207
1830.63	275.935	4.188
1830.71	276.438	4.159
1830.79	280.651	4.164
1830.88	284.799	4.159
1830.96	287.103	4.189
1831.04	287.081	4.216
1831.13	287.955	4.170
1831.21	288.577	4.167
1831.29	288.706	4.149
1831.38	288.524	4.147
1831.46	286.069	4.145
1831.54	280.611	4.207
1831.63	275.885	4.188
1831.71	276.388	4.159
1831.79	280.601	4.164
1831.88	284.749	4.159
1831.96	287.053	4.189
1832.04	287.031	4.216
1832.13	287.905	4.170
1832.21	288.527	4.167
1832.29	288.656	4.149
1832.38	288.474	4.147
1832.46	286.019	4.145
1832.54	280.561	4.207
1832.63	275.835	4.188
1832.71	276.338	4.159
1832.79	280.551	4.164
1832.88	284.699	4.159
1832.96	287.003	4.189
1833.04	286.831	4.216
1833.13	287.705	4.170
1833.21	288.327	4.167
1833.29	288.456	4.149
1833.38	288.274	4.147
1833.46	285.819	4.145
1833.54	280.361	4.207
1833.63	275.635	4.188
1833.71	276.138	4.159
1833.79	280.351	4.164
1833.88	284.499	4.159
1833.96	286.803	4.189
1834.04	286.731	4.216
1834.13	287.605	4.170
1834.21	288.227	4.167
1834.29	288.356	4.149
1834.38	288.174	4.147
1834.46	285.719	4.145
1834.54	280.261	4.207
1834.63	275.535	4.188
1834.71	276.038	4.159
1834.79	280.251	4.164
1834.88	284.399	4.159
1834.96	286.703	4.189
1835.04	286.531	4.216
1835.13	287.405	4.170
1835.21	288.027	4.167
1835.29	288.156	4.149
1835.38	287.974	4.147
1835.46	285.519	4.145
1835.54	280.061	4.207
1835.63	275.335	4.188
1835.71	275.838	4.159
1835.79	280.051	4.164
1835.88	284.199	4.159
1835.96	286.503	4.189
1836.04	286.431	4.216
1836.13	287.305	4.170
1836.21	287.927	4.167
1836.29	288.056	4.149
1836.38	287.874	4.147
1836.46	285.419	4.145
1836.54	279.961	4.207
1836.63	275.235	4.188
1836.71	275.738	4.159
1836.79	279.951	4.164
1836.88	284.099	4.159
1836.96	286.403	4.189
1837.04	286.231	4.216
1837.13	287.105	4.170
1837.21	287.727	4.167
1837.29	287.856	4.149
1837.38	287.674	4.147
1837.46	285.219	4.145
1837.54	279.761	4.207
1837.63	275.035	4.188
1837.71	275.538	4.159
1837.79	279.751	4.164
1837.88	283.899	4.159
1837.96	286.203	4.189
1838.04	286.131	4.216
1838.13	287.005	4.170
1838.21	287.627	4.167
1838.29	287.756	4.149
1838.38	287.574	4.147
1838.46	285.119	4.145
1838.54	279.661	4.207
1838.63	274.935	4.188
1838.71	275.438	4.159
1838.79	279.651	4.164
1838.88	283.799	4.159
1838.96	286.103	4.189
1839.04	286.131	4.216
1839.13	287.005	4.170
1839.21	287.627	4.167
1839.29	287.756	4.149
1839.38	287.574	4.147
1839.46	285.119	4.145
1839.54	279.661	4.207
1839.63	274.935	4.188
1839.71	275.438	4.159
1839.79	279.651	4.164
1839.88	283.799	4.159
1839.96	286.103	4.189
1840.04	286.131	4.216
1840.13	287.005	4.170
1840.21	287.627	4.167
1840.29	287.756	4.149
1840.38	287.574	4.147
1840.46	285.119	4.145
1840.54	279.661	4.207
1840.63	274.935	4.188
1840.71	275.438	4.159
1840.79	279.651	4.164
1840.88	283.799	4.159
1840.96	286.103	4.189
1841.04	286.131	4.216
1841.13	287.005	4.170
1841.21	287.627	4.167
1841.29	287.756	4.149
1841.38	287.574	4.147
1841.46	285.119	4.145
1841.54	279.661	4.207
1841.63	274.935	4.188
1841.71	275.438	4.159
1841.79	279.651	4.164
1841.88	283.799	4.159
1841.96	286.103	4.189
1842.04	286.231	4.216
1842.13	287.105	4.170
1842.21	287.727	4.167
1842.29	287.856	4.149
1842.38	287.674	4.147
1842.46	285.219	4.145
1842.54	279.761	4.207
1842.63	275.035	4.188
1842.71	275.538	4.159
1842.79	279.751	4.164
1842.88	283.899	4.159
1842.96	286.203	4.189
1843.04	286.331	4.216
1843.13	287.205	4.170
1843.21	287.827	4.167
1843.29	287.956	4.149
1843.38	287.774	4.147
1843.46	285.319	4.145
1843.54	279.861	4.207
1843.63	275.135	4.188
1843.71	275.638	4.159
1843.79	279.851	4.164
1843.88	283.999	4.159
1843.96	286.303	4.189
1844.04	286.431	4.216
1844.13	287.305	4.170
1844.21	287.927	4.167
1844.29	288.056	4.149
1844.38	287.874	4.147
1844.46	285.419	4.145
1844.54	279.961	4.207
1844.63	275.235	4.188
1844.71	275.738	4.159
1844.79	279.951	4.164
1844.88	284.099	4.159
1844.96	286.403	4.189
1845.04	286.631	4.216
1845.13	287.505	4.170
1845.21	288.127	4.167
1845.29	288.256	4.149
1845.38	288.074	4.147
1845.46	285.619	4.145
1845.54	280.161	4.207
1845.63	275.435	4.188
1845.71	275.938	4.159
1845.79	280.151	4.164
1845.88	284.299	4.159
1845.96	286.603	4.189
1846.04	286.831	4.216
1846.13	287.705	4.170
1846.21	288.327	4.167
1846.29	288.456	4.149
1846.38	288.274	4.147
1846.46	285.819	4.145
1846.54	280.361	4.207
1846.63	275.635	4.188
1846.71	276.138	4.159
1846.79	280.351	4.164
1846.88	284.499	4.159
1846.96	286.803	4.189
1847.04	286.931	4.216
1847.13	287.805	4.170
1847.21	288.427	4.167
1847.29	288.556	4.149
1847.38	288.374	4.147
1847.46	285.919	4.145
1847.54	280.461	4.207
1847.63	275.735	4.188
1847.71	276.238	4.159
1847.79	280.451	4.164
1847.88	284.599	4.159
1847.96	286.903	4.189
1848.04	287.131	4.216
1848.13	288.005	4.170
1848.21	288.627	4.167
1848.29	288.756	4.149
1848.38	288.574	4.147
1848.46	286.119	4.145
1848.54	280.661	4.207
1848.63	275.935	4.188
1848.71	276.438	4.159
1848.79	280.651	4.164
1848.88	284.799	4.159
1848.96	287.103	4.189
1849.04	287.331	4.216
1849.13	288.205	4.170
1849.21	288.827	4.167
1849.29	288.956	4.149
1849.38	288.774	4.147
1849.46	286.319	4.145
1849.54	280.861	4.207
1849.63	276.135	4.188
1849.71	276.638	4.159
1849.79	280.851	4.164
1849.88	284.999	4.159
1849.96	287.303	4.189
1850.04	287.431	4.216
1850.13	288.305	4.170
1850.21	288.927	4.167
1850.29	289.056	4.149
1850.38	288.874	4.147
1850.46	286.419	4.145
1850.54	280.961	4.207
1850.63	276.235	4.188
1850.71	276.738	4.159
1850.79	280.951	4.164
1850.88	285.099	4.159
1850.96	287.403	4.189
1851.04	287.631	4.216
1851.13	288.505	4.170
1851.21	289.127	4.167
1851.29	289.256	4.149
1851.38	289.074	4.147
1851.46	286.619	4.145
1851.54	281.161	4.207
1851.63	276.435	4.188
1851.71	276.938	4.159
1851.79	281.151	4.164
1851.88	285.299	4.159
1851.96	287.603	4.189
1852.04	287.731	4.216
1852.13	288.605	4.170
1852.21	289.227	4.167
1852.29	289.356	4.149
1852.38	289.174	4.147
1852.46	286.719	4.145
1852.54	281.261	4.207
1852.63	276.535	4.188
1852.71	277.038	4.159
1852.79	281.251	4.164
1852.88	285.399	4.159
1852.96	287.703	4.189
1853.04	287.831	4.216
1853.13	288.705	4.170
1853.21	289.327	4.167
1853.29	289.456	4.149
1853.38	289.274	4.147
1853.46	286.819	4.145
1853.54	281.361	4.207
1853.63	276.635	4.188
1853.71	277.138	4.159
1853.79	281.351	4.164
1853.88	285.499	4.159
1853.96	287.803	4.189
1854.04	288.031	4.216
1854.13	288.905	4.170
1854.21	289.527	4.167
1854.29	289.656	4.149
1854.38	289.474	4.147
1854.46	287.019	4.145
1854.54	281.561	4.207
1854.63	276.835	4.188
1854.71	277.338	4.159
1854.79	281.551	4.164
1854.88	285.699	4.159
1854.96	288.003	4.189
1855.04	288.131	4.216
1855.13	289.005	4.170
1855.21	289.627	4.167
1855.29	289.756	4.149
1855.38	289.574	4.147
1855.46	287.119	4.145
1855.54	281.661	4.207
1855.63	276.935	4.188
1855.71	277.438	4.159
1855.79	281.651	4.164
1855.88	285.799	4.159
1855.96	288.103	4.189
1856.04	288.331	4.216
1856.13	289.205	4.170
1856.21	289.827	4.167
1856.29	289.956	4.149
1856.38	289.774	4.147
1856.46	287.319	4.145
1856.54	281.861	4.207
1856.63	277.135	4.188
1856.71	277.638	4.159
1856.79	281.851	4.164
1856.88	285.999	4.159
1856.96	288.303	4.189
1857.04	288.431	4.216
1857.13	289.305	4.170
1857.21	289.927	4.167
1857.29	290.056	4.149
1857.38	289.874	4.147
1857.46	287.419	4.145
1857.54	281.961	4.207
1857.63	277.235	4.188
1857.71	277.738	4.159
1857.79	281.951	4.164
1857.88	286.099	4.159
1857.96	288.403	4.189
1858.04	288.631	4.216
1858.13	289.505	4.170
1858.21	290.127	4.167
1858.29	290.256	4.149
1858.38	290.074	4.147
1858.46	287.619	4.145
1858.54	282.161	4.207
1858.63	277.435	4.188
1858.71	277.938	4.159
1858.79	282.151	4.164
1858.88	286.299	4.159
1858.96	288.603	4.189
1859.04	288.831	4.216
1859.13	289.705	4.170
1859.21	290.327	4.167
1859.29	290.456	4.149
1859.38	290.274	4.147
1859.46	287.819	4.145
1859.54	282.361	4.207
1859.63	277.635	4.188
1859.71	278.138	4.159
1859.79	282.351	4.164
1859.88	286.499	4.159
1859.96	288.803	4.189
1860.04	288.931	4.216
1860.13	289.805	4.170
1860.21	290.427	4.167
1860.29	290.556	4.149
1860.38	290.374	4.147
1860.46	287.919	4.145
1860.54	282.461	4.207
1860.63	277.735	4.188
1860.71	278.238	4.159
1860.79	282.451	4.164
1860.88	286.599	4.159
1860.96	288.903	4.189
1861.04	289.131	4.216
