"Data set from Severinghaus and Brook, 1999"									
"Full reference: Severinghaus, J. P., and Brook, E. J., Abrupt climate change at the end of the last glacial period "									
"inferred from trapped air in polar ice, Science 286, 930-934 (1999)."									

GISP2 ice core									

"Data run at University of Rhode Island (URI) and Scripps Institution of Oceanography (SIO) are noted, "									
because there may be a ~0.01 permil offset between the two data sets (see text of paper).									

Precision (defined as the pooled standard deviation from the mean of replicate ice samples cut from the same depth)									
" is ±0.007 and ±0.008 for d15N and d40Ar/4, respectively, in the ice core data."									

Precision in the firn air data is ±0.002 permil for both d15N and d40Ar/4.									

"depth, m"	d15N	mean d15N	comment	d18O of O2	d40Ar/4	mean d40Ar/4	comment	d15Nexcess	"mean CH4, ppb"

1595.10		0.358	"Bender et al, 1994"
1615.00		0.317	"Bender et al, 1994"
1635.10		0.378	"Bender et al, 1994"
1655.10		0.365	"Bender et al, 1994"
1675.10		0.422	"Bender et al, 1994"
1680.10		0.444	
1685.00		0.436	
1685.05		0.444	
1687.90		0.475	
1688.00		0.434	
1691.10		0.522	
1693.00		0.548	
1695.10		0.552	
1696.10		0.547	
1697.00		0.565	
1697.90		0.548	
1698.50		0.531	
1698.90		0.501	
1699.50		0.516	
1700.10		0.490	
1700.60		0.461	
1701.10		0.417	
1701.50		0.415	
1702.00		0.453	
1704.10		0.425	
1706.10		0.416	
1708.20		0.412	
1711.10		0.384	
1715.10		0.396	"Bender et al, 1994"
1723.05		0.357	
1725.05		0.344	
1726.27		0.341	
1727.94		0.346		
1730.05		0.365		
1731.16		0.374		
1732.95		0.389		
1835.00	0.434		URI	2.036				
1855.10	0.417	0.432	URI	1.962				
1855.10	0.447		URI	1.992					

1862.00		0.403	"Bender et al, 1994"						
1875.00		0.399	"Bender et al, 1994"						
1895.00		0.416	"Bender et al, 1994"						
1915.00		0.414	"Bender et al, 1994"						

1595.00									749
1601.90									703
1608.10									742
1615.00									708
1621.90									701
1628.20									720
1635.00									716
1648.00									732
1655.00									732
1661.90									724
1668.20									741
1675.10									738
1680.12									680
1681.90									681
1685.00									693
1687.90									709
1688.20									737
1691.15									751
1693.00									755
1695.10									769
1695.70									686
1696.12									738
1697.00									693
1698.00									625
1699.00									591
1700.12									536
1700.58									520
1701.11									508
1701.50									534
1702.00									489
1704.12									485
1705.00									521
1706.12									481
1706.90									518
1708.50									525
1710.13									484
1711.20									458
1713.00									492
1715.10									510
1719.00									488
1721.90									494
1725.00									476
1728.20									597
1728.70									585
1732.12									626
1735.10									703
1739.00									680
1741.90									618
1746.12									674
1749.20									685
1752.12									684
1755.00									675
1762.12									674
1768.20									657
1772.12									704
1775.10									651
1779.00									640
1781.20									626	
1781.90									701	
1786.12									628	
1789.20									661	
1790.12									632	
1791.11									615	
1792.10									618	
1793.12									636	
1794.20									661	
1795.10									667	
1796.00									622	
1798.00									626	
1799.12									651	
1800.00									658	
1801.20									622	
1802.12									605	
1803.00									638	
1803.90									612	
1805.12									613	
1808.20									624	
1812.00									621	
1815.10									593	
1816.50									632	
1817.50									640	
1818.00									583	
1818.50									589	
1819.00									553	
1819.50									551	
1820.12									542	
1820.50									499	
1821.11									492	
1821.50									511	
1823.00									478
1824.00									490
1825.00									474
1827.00									458
1828.10									482
1829.90									538
1833.14									466
1833.14									476
1835.10									481
1841.30									458
1848.10									486
1855.10									462
1861.90									440
1868.20									450
1878.20									404
1882.10									370
1888.10									360
1895.10									406
1902.10									380


"Bender, M., Sowers, T., Dickson, M.-L., Orchardo, J., Grootes, P., Mayewski, P.A., Meese, D., Climate Correlations between Greenland and Antarctica during the past 100,000 years, Nature 372, 663-666 (1994)"									


Siple Dome Firn Air data (Figure 1):									

"depth, m"	d15N				d40Ar/4				
0.00	-0.0018				-0.0030				
0.00	0.0039				0.0012				
2.11	0.1494				0.1128				
3.95	0.1813				0.1268				
3.95	0.1870				0.1274				
5.90	0.1907				0.1310
5.90	0.1891				0.1313
7.84	0.1731				0.1194
7.84	0.1718				0.1204
9.82	0.1418				0.0970
9.82	0.1493				0.1026
11.77	0.1194				0.0857
13.78	0.1091				0.0710
13.78	0.1069				0.0735
14.44	0.1005				0.0747
14.44	0.0989				0.0782
20.42	0.0835				0.0780
26.40	0.1069				0.1116
26.40	0.1042				0.1135
32.39	0.1333				0.1369
38.38	0.1660				0.1666
38.38	0.1649				0.1685
44.37	0.1861				0.1863
44.37	0.1895				0.1909
					
					
					
					
