GISP2 Layer Counted Timescale

REFERENCES: 

Meese, D.A., A.J. Gow, R.B. Alley, G.A. Zielinski, P.M. Grootes, M. Ram,
K.C. Taylor, P.A. Mayewski, and J.F. Bolzan. 1997. The Greenland Ice Sheet
Project 2 depth-age scale: Methods and results. Journal of Geophysical
Research 102:26411-26423.

Meese, D.A., A.J. Gow, P.M. Grootes, P.A. Mayewski, M. Ram, M. Stuiver,
K.C. Taylor, E.D. Waddington, and G.A. Zielinski. 1994. The accumulation
record from the GISP2 core as an indicator of climate change throughout the
Holocene. Science 266:1680-1682.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Alley, R.B., D.A. Meese, C.A. Shuman, A.J. Gow, K.C. Taylor, P.M. Grootes,
J.W.C. White, M. Ram, E.D. Waddington, P.A. Mayewski, and G.A. Zielinski.
1993. Abrupt increase in Greenland snow accumulation at the end of the
Younger Dryas event. Nature 362:527-529.

DATA DESCRIPTION: 

This is the depth-age scale for the GISP2 D core based on annual layer
counting.  This time-scale provides more annual detail than the official
GISP2 timescale (the Meese/Sowers timescale, file gisp2age.dat).  It is
important to note that the core is deformed below 2800 m.  Annual layers
from visual stratigraphy and an annual signal from laser light scattering
from dust were evident below this depth and were counted.  However, it is
clear the record is disturbed, is probably discontinuous, and that
sections of core may be duplicated as a result of folding, so any ages
beyond 2800 m must be used with extreme caution.

As for ALL timescales on this CDROM, all ages are in years before 1950
A.D., where 0 represents summer, 1950.

DATA:	

Depth (m)	Age (yrs BP 1950)

117.220	340
117.400	341
117.590	342
117.840	343
117.990	344
118.290	345
118.560	346
118.890	347
119.090	348
119.290	349
119.540	350
119.790	351
120.090	352
120.290	353
120.550	354
120.760	355
120.980	356
121.090	357
121.390	358
121.620	359
121.910	360
122.290	361
122.570	362
122.800	363
123.030	364
123.310	365
123.490	366
123.810	367
124.030	368
124.240	369
124.460	370
124.790	371
125.120	372
125.260	373
125.500	374
125.790	375
126.040	376
126.220	377
126.460	378
126.680	379
126.940	380
127.150	381
127.450	382
127.640	383
127.890	384
128.080	385
128.290	386
128.560	387
128.690	388
128.960	389
129.100	390
129.270	391
129.470	392
129.700	393
129.950	394
130.230	395
130.470	396
130.710	397
130.880	398
131.230	399
131.450	400
131.710	401
131.950	402
132.190	403
132.420	404
132.610	405
132.940	406
133.190	407
133.470	408
133.790	409
133.980	410
134.240	411
134.420	412
134.730	413
134.940	414
135.160	415
135.440	416
135.700	417
135.940	418
136.250	419
136.440	420
136.720	421
136.900	422
137.150	423
137.400	424
137.650	425
137.950	426
138.190	427
138.390	428
138.540	429
138.730	430
138.890	431
139.160	432
139.390	433
139.550	434
139.730	435
139.970	436
140.220	437
140.570	438
140.820	439
141.070	440
141.260	441
141.530	442
141.750	443
141.920	444
142.240	445
142.430	446
142.700	447
143.070	448
143.320	449
143.510	450
143.810	451
144.060	452
144.220	453
144.550	454
144.640	455
144.790	456
145.190	457
145.450	458
145.750	459
145.970	460
146.220	461
146.390	462
146.670	463
146.890	464
147.130	465
147.230	466
147.540	467
147.730	468
147.970	469
148.380	470
148.440	471
148.660	472
148.890	473
149.080	474
149.210	475
149.400	476
149.630	477
149.910	478
150.070	479
150.190	480
150.340	481
150.480	482
150.740	483
150.990	484
151.240	485
151.400	486
151.590	487
151.820	488
152.110	489
152.490	490
152.680	491
152.990	492
153.240	493
153.540	494
153.640	495
153.850	496
154.050	497
154.340	498
154.580	499
154.680	500
154.980	501
155.210	502
155.440	503
155.700	504
155.930	505
156.160	506
156.280	507
156.520	508
156.800	509
157.120	510
157.280	511
157.410	512
157.740	513
157.970	514
158.230	515
158.510	516
158.710	517
158.920	518
159.260	519
159.600	520
159.880	521
160.070	522
160.290	523
160.530	524
160.820	525
161.090	526
161.290	527
161.550	528
161.760	529
162.050	530
162.270	531
162.520	532
162.840	533
163.090	534
163.230	535
163.520	536
163.760	537
163.960	538
164.280	539
164.570	540
164.780	541
164.950	542
165.180	543
165.370	544
165.520	545
165.840	546
166.040	547
166.210	548
166.490	549
166.720	550
167.080	551
167.260	552
167.470	553
167.690	554
167.950	555
168.180	556
168.550	557
168.820	558
169.110	559
169.280	560
169.540	561
169.710	562
170.000	563
170.140	564
170.430	565
170.680	566
170.970	567
171.080	568
171.330	569
171.650	570
171.880	571
172.130	572
172.430	573
172.650	574
172.920	575
173.150	576
173.340	577
173.590	578
173.750	579
174.010	580
174.270	581
174.490	582
174.740	583
175.090	584
175.320	585
175.570	586
175.810	587
176.010	588
176.220	589
176.450	590
176.670	591
176.870	592
177.170	593
177.380	594
177.570	595
177.850	596
178.130	597
178.340	598
178.560	599
178.750	600
178.990	601
179.160	602
179.440	603
179.740	604
179.990	605
180.260	606
180.480	607
180.670	608
180.920	609
181.120	610
181.350	611
181.640	612
181.890	613
182.140	614
182.350	615
182.640	616
182.840	617
182.990	618
183.250	619
183.470	620
183.680	621
183.900	622
184.270	623
184.450	624
184.650	625
184.850	626
185.190	627
185.430	628
185.590	629
185.770	630
185.990	631
186.260	632
186.530	633
186.720	634
186.940	635
187.130	636
187.460	637
187.660	638
187.890	639
188.120	640
188.340	641
188.540	642
188.740	643
189.020	644
189.320	645
189.550	646
189.750	647
189.990	648
190.160	649
190.310	650
190.630	651
190.870	652
191.120	653
191.300	654
191.540	655
191.750	656
191.960	657
192.180	658
192.440	659
192.630	660
192.780	661
192.990	662
193.330	663
193.610	664
193.780	665
194.020	666
194.230	667
194.480	668
194.690	669
194.940	670
195.120	671
195.400	672
195.640	673
195.850	674
196.090	675
196.340	676
196.620	677
196.880	678
197.080	679
197.270	680
197.520	681
197.720	682
197.930	683
198.140	684
198.350	685
198.610	686
198.840	687
199.020	688
199.250	689
199.500	690
199.740	691
199.970	692
200.140	693
200.400	694
200.630	695
200.840	696
200.930	697
201.140	698
201.360	699
201.620	700
201.860	701
202.050	702
202.330	703
202.540	704
202.730	705
203.040	706
203.300	707
203.520	708
203.770	709
203.980	710
204.190	711
204.410	712
204.640	713
204.800	714
205.070	715
205.280	716
205.540	717
205.830	718
206.000	719
206.190	720
206.460	721
206.650	722
206.810	723
207.070	724
207.270	725
207.500	726
207.680	727
207.850	728
207.980	729
208.160	730
208.410	731
208.640	732
208.840	733
209.140	734
209.360	735
209.600	736
209.840	737
210.060	738
210.170	739
210.330	740
210.380	741
210.600	742
210.890	743
211.110	744
211.320	745
211.550	746
211.760	747
212.030	748
212.310	749
212.520	750
212.680	751
212.890	752
213.090	753
213.330	754
213.530	755
213.730	756
213.910	757
214.170	758
214.410	759
214.590	760
214.810	761
215.040	762
215.280	763
215.510	764
215.710	765
215.940	766
216.140	767
216.360	768
216.540	769
216.800	770
217.010	771
217.250	772
217.450	773
217.630	774
217.830	775
218.070	776
218.220	777
218.370	778
218.570	779
218.910	780
219.080	781
219.300	782
219.530	783
219.720	784
219.890	785
220.090	786
220.320	787
220.560	788
220.790	789
221.090	790
221.270	791
221.520	792
221.790	793
222.060	794
222.260	795
222.420	796
222.640	797
222.860	798
223.080	799
223.380	800
223.580	801
223.820	802
224.050	803
224.290	804
224.520	805
224.750	806
225.040	807
225.310	808
225.560	809
225.800	810
225.990	811
226.230	812
226.530	813
226.830	814
227.050	815
227.330	816
227.510	817
227.750	818
228.010	819
228.270	820
228.470	821
228.750	822
228.900	823
229.180	824
229.400	825
229.630	826
229.850	827
230.000	828
230.240	829
230.400	830
230.650	831
230.800	832
231.070	833
231.390	834
231.610	835
231.900	836
232.090	837
232.420	838
232.660	839
232.890	840
233.130	841
233.360	842
233.600	843
233.830	844
234.030	845
234.260	846
234.480	847
234.750	848
234.940	849
235.220	850
235.440	851
235.700	852
235.870	853
236.130	854
236.420	855
236.840	856
237.020	857
237.250	858
237.480	859
237.690	860
237.900	861
238.110	862
238.310	863
238.520	864
238.730	865
238.940	866
239.150	867
239.360	868
239.560	869
239.770	870
239.980	871
240.190	872
240.410	873
240.590	874
240.710	875
240.900	876
241.100	877
241.300	878
241.570	879
241.750	880
241.900	881
242.130	882
242.460	883
242.710	884
242.900	885
243.180	886
243.490	887
243.730	888
244.100	889
244.210	890
244.360	891
244.630	892
244.960	893
245.230	894
245.440	895
245.630	896
245.890	897
246.250	898
246.390	899
246.510	900
246.770	901
247.010	902
247.250	903
247.540	904
247.780	905
248.060	906
248.300	907
248.480	908
248.830	909
249.060	910
249.280	911
249.520	912
249.670	913
249.990	914
250.220	915
250.400	916
250.640	917
250.800	918
251.010	919
251.140	920
251.330	921
251.650	922
251.820	923
252.010	924
252.170	925
252.480	926
252.750	927
253.030	928
253.240	929
253.500	930
253.900	931
254.160	932
254.370	933
254.670	934
254.860	935
255.090	936
255.280	937
255.500	938
255.760	939
255.990	940
256.250	941
256.470	942
256.700	943
256.920	944
257.100	945
257.410	946
257.520	947
257.860	948
258.070	949
258.460	950
258.640	951
258.870	952
259.080	953
259.340	954
259.560	955
259.790	956
260.060	957
260.160	958
260.390	959
260.570	960
260.700	961
260.900	962
261.230	963
261.350	964
261.600	965
261.800	966
262.070	967
262.350	968
262.600	969
262.830	970
263.050	971
263.280	972
263.500	973
263.750	974
264.030	975
264.290	976
264.510	977
264.770	978
264.940	979
265.220	980
265.420	981
265.790	982
265.930	983
266.140	984
266.350	985
266.590	986
266.840	987
267.030	988
267.290	989
267.510	990
267.750	991
267.940	992
268.120	993
268.340	994
268.560	995
268.850	996
269.030	997
269.340	998
269.540	999
269.780	1000
270.030	1001
270.300	1002
270.480	1003
270.680	1004
270.900	1005
271.110	1006
271.380	1007
271.590	1008
271.890	1009
272.090	1010
272.490	1011
272.660	1012
272.960	1013
273.150	1014
273.420	1015
273.780	1016
273.840	1017
273.980	1018
274.280	1019
274.500	1020
274.750	1021
274.990	1022
275.190	1023
275.360	1024
275.600	1025
275.860	1026
276.090	1027
276.300	1028
276.480	1029
276.750	1030
276.910	1031
277.180	1032
277.390	1033
277.650	1034
277.840	1035
278.030	1036
278.280	1037
278.480	1038
278.710	1039
278.870	1040
279.130	1041
279.340	1042
279.520	1043
279.710	1044
279.920	1045
280.170	1046
280.410	1047
280.610	1048
280.840	1049
281.100	1050
281.330	1051
281.570	1052
281.800	1053
282.040	1054
282.280	1055
282.490	1056
282.690	1057
282.900	1058
283.200	1059
283.510	1060
283.670	1061
283.840	1062
284.080	1063
284.270	1064
284.480	1065
284.710	1066
284.930	1067
285.190	1068
285.420	1069
285.710	1070
286.050	1071
286.300	1072
286.550	1073
286.680	1074
286.860	1075
287.080	1076
287.450	1077
287.610	1078
287.830	1079
288.030	1080
288.200	1081
288.350	1082
288.680	1083
288.920	1084
289.070	1085
289.260	1086
289.620	1087
289.790	1088
289.960	1089
290.270	1090
290.580	1091
290.740	1092
290.970	1093
291.170	1094
291.420	1095
291.730	1096
291.960	1097
292.180	1098
292.400	1099
292.680	1100
292.860	1101
293.110	1102
293.390	1103
293.660	1104
293.910	1105
294.160	1106
294.380	1107
294.560	1108
294.750	1109
294.980	1110
295.240	1111
295.410	1112
295.740	1113
295.990	1114
296.160	1115
296.370	1116
296.620	1117
296.790	1118
296.980	1119
297.270	1120
297.520	1121
297.720	1122
297.930	1123
298.190	1124
298.460	1125
298.670	1126
298.920	1127
299.130	1128
299.380	1129
299.620	1130
299.900	1131
300.210	1132
300.470	1133
300.710	1134
300.910	1135
301.140	1136
301.410	1137
301.680	1138
301.950	1139
302.120	1140
302.400	1141
302.650	1142
302.820	1143
303.010	1144
303.260	1145
303.470	1146
303.670	1147
303.890	1148
304.020	1149
304.310	1150
304.580	1151
304.790	1152
305.050	1153
305.270	1154
305.510	1155
305.680	1156
305.950	1157
306.230	1158
306.510	1159
306.760	1160
306.960	1161
307.160	1162
307.470	1163
307.690	1164
307.920	1165
308.130	1166
308.340	1167
308.600	1168
308.850	1169
309.100	1170
309.330	1171
309.540	1172
309.730	1173
309.930	1174
310.080	1175
310.300	1176
310.530	1177
310.780	1178
311.040	1179
311.250	1180
311.500	1181
311.690	1182
311.980	1183
312.210	1184
